incident_id,external_case_id,source,occurred_at,year,month,country,site,location,case_type,activity,classification_source,hazard_category,hazard_confidence,cause_category,cause_confidence,severity_level,recurrence_frequency,risk_score,risk_level_label,needs_human_review,recommendation_summary
7b87f4bf-4806-580d-b188-69c4f51fc859,MOCK-2025076,mock,2025-08-17,2025,8,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Environmental Hazards,0.78,Communication,0.72,High,0 - 14 days,125,Critical,true,"Improve containment, inspect waste handling, and verify environmental controls."
e79ebb27-cfd9-5c6a-9161-32c64c4b0253,MOCK-2025077,mock,2025-08-20,2025,8,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Physical Hazards,0.85,Workplace Design,0.79,Very low,Less often,1,Low,false,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
69cec588-bb15-50d4-92bf-256c9e36465d,MOCK-2025078,mock,2025-08-23,2025,8,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Chemical Hazards,0.74,Housekeeping,0.68,Medium,6 months - 1 year,30,Medium,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
64e2100f-fc0b-5187-b0bf-b87677a016c8,MOCK-2025079,mock,2025-08-26,2025,8,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Ergonomic Hazards,0.81,Organization,0.75,High,1 year - 5 years,50,High,false,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
7fe19450-5ae8-5cec-8487-e11ad162a490,MOCK-2025080,mock,2025-08-29,2025,8,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Process Safety / Operational Hazards,0.7,Facilities and equipment,0.64,Very high,14 days - 6 months,300,Critical,true,"Review energy isolation, pressure system controls, and permit-to-work process."
0ab5e485-7981-549e-b988-efff40b225f4,MOCK-2025081,mock,2025-09-01,2025,9,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Near miss,Walking / working surfaces,NMI,Mechanical / Equipment Hazards,0.77,Procedures,0.71,Low,0 - 14 days,25,Medium,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
90b26bc3-09a0-510f-a857-e2df3f9561bc,MOCK-2025082,mock,2025-09-04,2025,9,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Electrical Hazards,0.84,Pedestrian,0.78,Medium,Less often,10,Low,false,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
745695e1-81b7-5951-b6c3-607873542d07,MOCK-2025083,mock,2025-09-07,2025,9,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Vehicle & Traffic Hazards,0.73,Personal Protective Equipment,0.67,Low,6 months - 1 year,15,Medium,true,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
c799dc12-11c7-5f28-a160-89dd9aaf2a38,MOCK-2025084,mock,2025-09-10,2025,9,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Fire & Explosion Hazards,0.8,Human Factors,0.74,High,1 year - 5 years,50,High,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
4fa9e597-6e12-5d8f-9669-d19035c6a91f,MOCK-2025085,mock,2025-09-13,2025,9,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Environmental Hazards,0.69,Maintenance Management,0.63,Very low,14 days - 6 months,4,Low,true,"Improve containment, inspect waste handling, and verify environmental controls."
4c3577b0-2b17-5481-9807-2ae2aaf978d3,MOCK-2025086,mock,2025-09-16,2025,9,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Physical Hazards,0.76,Communication,0.7,Medium,0 - 14 days,50,High,true,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
bc7b1628-baac-5e8d-aa02-6c7ac3031b84,MOCK-2025087,mock,2025-09-19,2025,9,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Chemical Hazards,0.83,Workplace Design,0.77,High,Less often,25,Medium,false,"Contain spill/leak source, verify labeling, and review chemical storage controls."
1d52c8e6-51ee-50f8-b158-ab2564356772,MOCK-2025088,mock,2025-09-22,2025,9,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Ergonomic Hazards,0.72,Housekeeping,0.66,Low,6 months - 1 year,15,Medium,true,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
c1d97424-12ae-5a9c-8d02-cd8164bdb33c,MOCK-2025089,mock,2025-09-25,2025,9,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Process Safety / Operational Hazards,0.79,Organization,0.73,Medium,1 year - 5 years,20,Medium,true,"Review energy isolation, pressure system controls, and permit-to-work process."
df59d84c-214a-5fdf-b2eb-627d8450f9ac,MOCK-2025090,mock,2025-09-28,2025,9,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Near miss,Ergonomic,NMI,Mechanical / Equipment Hazards,0.68,Facilities and equipment,0.62,Low,14 days - 6 months,20,Medium,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
2984fe1a-1dbc-5ac6-801e-a2a7e44db613,MOCK-2025091,mock,2025-10-01,2025,10,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Electrical Hazards,0.75,Procedures,0.69,High,0 - 14 days,125,Critical,true,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
65f8100c-5c79-597d-aeef-c2651f65c409,MOCK-2025092,mock,2025-10-04,2025,10,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Vehicle & Traffic Hazards,0.82,Pedestrian,0.76,Very low,Less often,1,Low,false,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
9c160f31-fab4-5733-ab7e-942ebd32d987,MOCK-2025093,mock,2025-10-07,2025,10,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Fire & Explosion Hazards,0.71,Personal Protective Equipment,0.65,Medium,6 months - 1 year,30,Medium,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
9cbce14d-ec26-55a5-9773-acd1f0d577b8,MOCK-2025094,mock,2025-10-10,2025,10,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Environmental Hazards,0.78,Human Factors,0.72,High,1 year - 5 years,50,High,true,"Improve containment, inspect waste handling, and verify environmental controls."
756edc8f-0161-523a-a123-0666ccda21c7,MOCK-2025095,mock,2025-10-13,2025,10,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Physical Hazards,0.85,Maintenance Management,0.79,Very high,14 days - 6 months,300,Critical,true,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
b0e21f0c-b7aa-5532-bfd1-b10db1dd4610,MOCK-2025096,mock,2025-10-16,2025,10,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Chemical Hazards,0.74,Communication,0.68,Low,0 - 14 days,25,Medium,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
569f4145-ab9d-5951-8317-1244a3fb30ff,MOCK-2025097,mock,2025-10-19,2025,10,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Ergonomic Hazards,0.81,Workplace Design,0.75,Medium,Less often,10,Low,false,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
e198915e-6bb0-5b4f-bae0-d6a755de76af,MOCK-2025098,mock,2025-10-22,2025,10,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Process Safety / Operational Hazards,0.7,Housekeeping,0.64,Low,6 months - 1 year,15,Medium,true,"Review energy isolation, pressure system controls, and permit-to-work process."
69cd0167-a5c8-5b8b-8e2c-468241a6cae2,MOCK-2025099,mock,2025-10-25,2025,10,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Near miss,Repair & Maintenance,NMI,Mechanical / Equipment Hazards,0.77,Organization,0.71,Very low,1 year - 5 years,2,Low,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
e86341ff-74af-5a28-920d-dbcb6bc01449,MOCK-2025100,mock,2025-10-28,2025,10,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Electrical Hazards,0.84,Facilities and equipment,0.78,Medium,14 days - 6 months,40,Medium,false,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
